                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                 2.0319,                 2.1223,                 2.2488,                0.24316,                   0.25,                0.22716,                0.09709,                  2.658,                 2.5489,                 2.6732,              0.0014607,              0.0014607,              0.0014607
                    128,                 2.1004,                 2.2393,                  2.304,                0.39799,                   0.25,                 0.3006,                0.12773,                 2.4876,                 2.8235,                 2.5461,              0.0014591,              0.0014591,              0.0014591
                    129,                 2.0145,                 2.1698,                 2.2451,                0.19643,                0.22222,                0.16173,                 0.0752,                 2.2558,                  2.874,                 2.3613,              0.0014574,              0.0014574,              0.0014574
                    130,                 2.0814,                 2.0514,                  2.261,                0.26266,                0.30556,                0.26376,                0.10876,                 2.2647,                 2.9037,                 2.4079,              0.0014558,              0.0014558,              0.0014558
                    131,                 1.9242,                 2.0326,                 2.1494,                0.64331,                   0.25,                0.30803,                0.13419,                 2.2538,                  2.851,                 2.3182,              0.0014541,              0.0014541,              0.0014541
                    132,                 2.0244,                 2.0569,                 2.2199,                 0.4152,                0.33333,                0.33063,                0.13395,                 2.5272,                 2.1285,                 2.5368,              0.0014525,              0.0014525,              0.0014525
                    133,                 1.9503,                  2.103,                 2.2199,                0.76636,                0.30556,                0.32429,                0.12462,                 2.4386,                  2.083,                 2.5078,              0.0014508,              0.0014508,              0.0014508
                    134,                 2.0491,                 2.1543,                 2.2231,                0.37013,                0.30556,                0.28682,                0.11214,                 2.3974,                 2.3537,                 2.4347,              0.0014492,              0.0014492,              0.0014492
                    135,                 1.9945,                 2.1579,                 2.2285,                0.36837,                0.30556,                0.29958,                0.11387,                   2.34,                 2.1893,                   2.41,              0.0014475,              0.0014475,              0.0014475
                    136,                 1.9451,                 2.1102,                 2.2175,                0.39698,                0.39466,                0.38249,                0.13495,                 2.3563,                 2.0162,                 2.3779,              0.0014459,              0.0014459,              0.0014459
                    137,                  1.961,                 2.0817,                 2.1561,                 0.5665,                0.32184,                0.32605,                0.12393,                 2.3905,                 2.1285,                 2.3974,              0.0014442,              0.0014442,              0.0014442
                    138,                 1.9621,                 2.1636,                  2.149,                0.44832,                0.24162,                0.30413,                0.14523,                 2.1801,                 2.4954,                 2.2411,              0.0014426,              0.0014426,              0.0014426
                    139,                  1.935,                 1.9906,                 2.1464,                0.31604,                0.38889,                0.33229,                0.13777,                 2.3705,                 2.0361,                 2.3712,              0.0014409,              0.0014409,              0.0014409
                    140,                 1.9125,                 2.1072,                 2.1874,                0.32901,                0.24929,                0.22832,                0.11456,                 2.2913,                 2.6838,                 2.4399,              0.0014393,              0.0014393,              0.0014393
                    141,                 1.8824,                 1.9345,                 2.1392,                 0.3472,                0.43762,                0.39205,                0.17339,                 2.2394,                 2.0831,                  2.321,              0.0014376,              0.0014376,              0.0014376
                    142,                 1.9873,                 2.0525,                 2.1965,                0.46467,                0.36111,                0.39762,                0.16464,                 2.4276,                 2.0469,                  2.407,               0.001436,               0.001436,               0.001436
                    143,                  1.877,                 1.9001,                 2.1549,                0.34707,                0.38889,                0.31552,                0.14265,                 2.2389,                 2.1909,                 2.3248,              0.0014343,              0.0014343,              0.0014343
